Exp_A,Exp_B,Exp_C
0.7872753597260904,0.7864745623138867,0.7886547276050738
0.8433052419809896,0.8434938326078447,0.8171895177176586
0.8080471618879866,0.8082681721049456,0.8094970736830156
0.7847455271249012,0.7853700934062664,0.744842830001359
0.8004273486647269,0.8007094895137836,0.7847426355913552
0.8453062792737445,0.8463900432780838,0.8224221897947972
0.7933481776896102,0.7937182548787579,0.7409029566416528
0.7951843413659432,0.793314523465348,0.7452198089160857
0.8136042688071253,0.812589729374207,0.7932876783325251
0.8249103451976694,0.8227866062313312,0.7551688856819275
0.792382225818019,0.7914188924854832,0.773715691276152
0.755113613223114,0.7564071021211655,0.7333202190304883
0.827488920318235,0.8279780607971468,0.7860656748510141
0.7716789764004837,0.77342691141397,0.7554929382449573
0.7980391773522665,0.8004978786650069,0.741024060195207
0.7749827270181774,0.7759316233365325,0.7095294287091571
0.8479595458926116,0.8478849154816178,0.825104706769463
0.8137907616571789,0.8106476853165322,0.7778004621617207
0.7286273683714786,0.7297074022639802,0.7213429194395221
0.8552819186940199,0.853920848795655,0.8329275057131489
0.8318056519191996,0.8330768549184798,0.7989835369747113
0.7859534693520184,0.7855817837633698,0.7806930408197887
0.7662186177364784,0.7667369015453194,0.7207951108165278
0.7985711808414615,0.7999770203541997,0.7660636264119558
0.7972787390302174,0.7965343033977414,0.7758892669176845
0.7774351484976657,0.7799266291937045,0.7622619146162058
0.8142268086828797,0.8134981207170708,0.7840975855578947
0.7687297740145241,0.7699251398202415,0.7766858034261654
0.7523637900372123,0.7522269611399024,0.753007730085477
0.822437435974283,0.8220178727741405,0.803334596470574
0.808530638044782,0.8075367426531693,0.7614244748748664
0.817907244774599,0.8169567216349791,0.7586969687376157
0.8054480794356049,0.8052838839290628,0.804293966633822
0.8388794685563487,0.8386048124611768,0.82702948682954
0.8277847879332825,0.8255817970153124,0.7977558558888458
0.7915641553484396,0.7921888604037117,0.7804773612905319
0.8421085415177183,0.8406615900813852,0.8175309526848635
0.8283118103459031,0.8281308655800592,0.7958928533325802
0.7897659639749248,0.7885562116680387,0.7792843580497505
0.8486449871834281,0.8484852608501532,0.8020206304754273
0.7755517636171358,0.7771354736298587,0.7864274497902596
0.8110436381510665,0.8107719268656085,0.7835561427523655
0.8152015206227077,0.8159724956205581,0.7796378725921834
0.8360549571364884,0.8371620787096489,0.8162807313715296
0.8006259231400035,0.8027817982693458,0.7811012027866588
0.8194281171426181,0.8211722285639234,0.7628845627739596
0.7938940235471187,0.7923382459430586,0.7766764963806516
0.8070279671885897,0.8069264680743602,0.7819124541385005
0.7789706288568179,0.7783722561504935,0.7487922054154084
0.7917283445309544,0.7926095122823836,0.7636159406365202
0.8219765672065107,0.8205966024841495,0.8106400734610032
0.763644097291676,0.7644700735966716,0.7004018848613387
0.8215242787562566,0.8204187551054087,0.7819630957927045
0.8206165858332122,0.8189881880445532,0.810769762085275
0.808514280831642,0.8061118543811707,0.7918192393022984
0.8373776672638983,0.8359035471327031,0.8187882018540578
0.8175728630904717,0.8177474850966896,0.7906942517874778
0.776669896865052,0.7761332501358698,0.7424931770678237
0.8038326938418006,0.8021239166418066,0.7774128647422653
0.7702185940219348,0.7672249453197575,0.7710929060541711
0.8189747999923728,0.8195416907574031,0.7997366144959661
0.7549935080137573,0.7556083681752546,0.7292664117206188
0.8192304425354495,0.8203193164602374,0.7678981490732644
0.8064485324844954,0.8042611972798063,0.791403101375614
0.7087525078032408,0.7044960927695516,0.6678676234678885
0.8207236657528159,0.8200904027889784,0.836829347828612
0.822523689394062,0.8234645550141437,0.7884420407636714
0.8361656185508781,0.8359842281604383,0.8073465799004965
0.8420711186776093,0.8425966621051801,0.7975557009700405
0.7964045752265462,0.7966035848111569,0.7447713108568108
0.7500089662155586,0.7507308049435638,0.7557177592770855
0.7778740812180232,0.7769087402360442,0.7193181742274893
0.8226200856871662,0.8227768956260324,0.7894347810980626
0.7182617283400476,0.7162013141244632,0.6873514613799625
0.8259915776955873,0.8276669665873417,0.7949540781762429
0.814654609736621,0.813260134221798,0.7676527539658293
0.7904540176053794,0.7903384360414099,0.7339170592272541
0.829650143802295,0.8278143066455586,0.8118285242749529
0.8129656790891473,0.8119653352057281,0.7655053583546672
0.8100762411850104,0.8087377207840467,0.7599476741324871
0.8538892283266839,0.8550420477337932,0.8400127116981608
0.7945517154425693,0.796040616675231,0.7667716373429303
0.7905850973283014,0.7882935697388307,0.7597870411217802
0.8646340951032243,0.8653676404591061,0.8547955727873527
0.7901512195610843,0.7880985724729177,0.7478780840598509
0.8018582072697162,0.8029186178312749,0.8103071195644505
0.8024500752251215,0.7995492238254533,0.7742849465012526
0.8132312641312616,0.8144048226804216,0.777961556030254
0.7399554981245187,0.7375549620867621,0.6765777386671634
0.8164662364164664,0.8167097410709359,0.7892897801989517
0.8222591222597144,0.8220845325589192,0.8058121911740039
