Model,R2_inner_mean,R2_inner_std,MAE_inner_mean,Mode,Fold
RF+XGB+SVM,0.7195750662380542,0.04874089588641217,0.49124018111288026,morgan,6
RF+SVM+kNN,0.71945796265202,0.04699008551304137,0.49261106614239447,morgan,6
LGBM+XGB+SVM,0.7188523758812317,0.04059589196372756,0.5033977269683865,morgan,6
RF+LGBM+XGB,0.7180640418309128,0.04775594913274016,0.49462497841546726,morgan,6
RF+LGBM+kNN,0.7176993961559711,0.048860583479598894,0.496925837212072,morgan,6
XGB+SVM+kNN,0.7175806792322248,0.04615779277113662,0.500739631692255,morgan,6
LGBM+SVM,0.7175167303306081,0.0349709178210644,0.5063723205197641,morgan,6
LGBM+SVM+kNN,0.7175009187796652,0.04423346866684325,0.49937749679820465,morgan,6
SVM,0.7164338465909651,0.03820982985084093,0.5037485045482525,morgan,6
LGBM+XGB+kNN,0.7163540282778398,0.04479417562084751,0.5048591925529126,morgan,6
RF+LGBM,0.7158723012058122,0.048245559451164995,0.49382789212167494,morgan,6
XGB+SVM,0.7156860913558286,0.0438675451007826,0.5063650672076295,morgan,6
ET+LGBM+SVM,0.714201765165371,0.03128383804458043,0.5076167983224095,morgan,6
RF+XGB+kNN,0.713785221717489,0.05044546629761799,0.5016496822064465,morgan,6
RF+ET+LGBM,0.713463883357139,0.04287934535225353,0.4961655267690869,morgan,6
ET+SVM+kNN,0.7132676078584437,0.040188427506414305,0.5044730968459655,morgan,6
SVM+kNN,0.7131262199637842,0.043594408077037655,0.5051468463209978,morgan,6
ET+SVM,0.7123193022123951,0.03314074046880808,0.505079514704099,morgan,6
ET+XGB+SVM,0.7121920598230239,0.03878635486666357,0.5072130920410927,morgan,6
RF+ET+XGB,0.7105742156728125,0.04664672761724056,0.5007740352895484,morgan,6
